"","hostel.name","City","summary.score","rating.band","atmosphere","cleanliness","facilities","location.y","security","staff","valueformoney","minprice"
"312","THE NEXT DOOR lower east nine hostel","Kyoto",9.5,"Superb",8.6,9.7,9.9,9,9.6,9.8,9.7,3000
"313","The Pax Hostel/Records/More","Osaka",9.5,"Superb",9.5,9.4,9.3,9.4,9.4,9.9,9.5,2300
"314","The Prime Pod Ginza Tokyo","Tokyo",9,"Superb",7.9,9.2,9.2,9.5,9.6,9,8.4,3700
"315","The Prime Pod Kyoto","Kyoto",9.8,"Superb",9.4,10,10,9.6,9.9,9.9,9.6,2500
"316","Toco Tokyo Heritage Hostel","Tokyo",9.2,"Superb",10,10,7.3,8.7,8.7,10,10,3000
"317","Tokyo Central Youth Hostel","Tokyo",8,"Fabulous",6,10,10,8,8,8,6,1003200
"318","Tokyo Hostel ENISHI","Tokyo",8.6,"Fabulous",7.5,9,9,8.5,9,9,8.5,3300
"319","Tokyo Hostel Fuji","Tokyo",9.2,"Superb",8.8,9.3,9,9,9.4,9.8,9.2,2000
"320","Tokyo House Inn","Tokyo",6.8,"Good",6,6.7,6.7,8,6,7.3,6.7,3800
"321","Tokyo Hutte","Tokyo",7.1,"Very Good",8,6,4,8,10,8,6,3000
"322","Tokyo Sumidagawa Youth Hostel","Tokyo",7.7,"Very Good",6.5,6,8,8,9,9,7.5,2500
"323","TOKYO-W-INN Asakusa","Tokyo",8.9,"Fabulous",8.2,9.2,8.9,8.9,8.8,9.4,9.2,2500
"324","Tomato Kyoto Station","Kyoto",8.3,"Fabulous",8.3,8.3,8,7.3,8.3,9.3,8.7,1500
"325","Tonagi Hostel × Cafe","Fukuoka-City",8.9,"Fabulous",9,9,9.3,7.3,9.3,9,9.3,2500
"326","Train Hostel HOKUTOSEI","Tokyo",8.7,"Fabulous",7.4,9.3,9,8.7,8.8,9.2,8.8,2100
"327","Turn Table Hostel","Tokyo",9.6,"Superb",9.4,9.9,9.7,9.7,9.6,9.6,9.3,5400
"328","Umbrella House Osaka","Osaka",6.8,"Good",6,8,6.6,5.4,7.4,7.4,6.9,2300
"329","Uno Ueno","Tokyo",8.8,"Fabulous",7.8,9.3,8.5,8.9,9.2,9.3,8.6,1500
"330","Unplan Kagurazaka","Tokyo",9.5,"Superb",9.2,9.9,9.6,8.8,9.6,9.8,9.6,3200
"331","Very Hostel Namba","Osaka",9,"Superb",8.8,9.2,9.2,8.8,8.4,9.2,9.2,2500
"332","WeBase HAKATA","Fukuoka-City",9.5,"Superb",9,9.8,9.7,9.4,9.7,9.7,9.3,3000
"333","WIRED HOTEL Asakusa","Tokyo",9.5,"Superb",8.9,10,9.9,9.1,9.7,9.6,9.5,5200
"334","Wise Owl Hostels Shibuya","Tokyo",9.1,"Superb",8.9,9.6,9.1,8.4,9.6,9.5,8.8,2500
"335","Wise Owl Hostels Tokyo","Tokyo",9.1,"Superb",8.4,9.5,9.1,9.1,9.4,9.3,9.1,2000
"336","With B","Tokyo",9.1,"Superb",8.5,9.5,9,8,9,9.5,10,4000
"337","YADOKARI Namba Hostel","Osaka",NA,NA,NA,NA,NA,NA,NA,NA,NA,2500
"338","YADOYA Guesthouse Green","Tokyo",8.2,"Fabulous",7.9,7.7,6.9,8.9,8.9,8.8,8.3,2300
"339","YADOYA Guesthouse Orange","Tokyo",8.9,"Fabulous",8.6,9,7.8,9.4,9,9.2,9.4,2000
"340","YAWP! backpackers","Tokyo",9.3,"Superb",9.5,9.3,9.4,8.5,9.5,9.2,9.6,2500
"341","You En Me House","Kyoto",8,"Fabulous",7.3,8,6.7,8,8.7,10,7.3,2800
"342","Zabutton Hostel","Tokyo",8.6,"Fabulous",8.1,8.5,7.8,9,8.9,9.5,8.5,2900
